id,battery_power,m_dep,mobile_wt,px_height,px_width,ram,sc_h,sc_w,talk_time,bluetooth,gen,cores,speed,sim,f_camera,camera,memory,screen,wifi,price,resolution,DPI_w,call_ratio,cores_ord,speed_ord,wifi_ord,sim_ord,LCD,Touch,bluetooth_bin
435,954,0.3,134,228,1058,438,17,0,2,Yes,3,dual,low,Single,,11.0,49.162109375,LCD,none,607.83,241224,inf,477.0,2,1,-1,1,1,0,1
436,685,0.8,82,1091,1203,3210,15,7,2,No,4,hepta,low,Dual,8.0,15.0,13.275390625,Touch,a,966.68,1312473,436.5,342.5,7,1,2,2,0,1,0
437,1472,0.5,130,1452,1744,985,12,11,7,No,3,hexa,high,Dual,1.0,10.0,35.9443359375,Touch,none,853.99,2532288,402.7,210.28571428571428,6,3,-1,2,0,1,0
438,853,0.6,200,674,740,3701,15,8,8,Yes,4,dual,medium,Single,10.0,16.0,3.8916015625,Touch,none,1034.05,498760,235.0,106.625,2,2,-1,1,0,1,1
439,1469,0.7,123,398,1133,1052,8,1,3,No,2,hepta,medium,Single,,,8.158203125,Touch,none,642.07,450934,2877.8,489.6666666666667,7,2,-1,1,0,1,0
440,1310,0.9,135,449,889,1175,16,0,8,Yes,2,octa,high,Dual,6.0,9.0,56.4833984375,LCD,none,558.47,399161,inf,163.75,8,3,-1,2,1,0,1
441,1654,0.3,146,1184,1719,1070,8,1,14,No,3,hepta,medium,Single,1.0,2.0,11.369140625,Touch,g,883.4,2035296,4366.3,118.14285714285714,7,2,3,1,0,1,0
442,902,0.3,134,675,1285,3411,12,11,15,Yes,2,hepta,low,Single,3.0,9.0,4.0419921875,LCD,b,626.6,867375,296.7,60.13333333333333,7,1,1,1,1,0,1
443,1448,1.0,156,1792,1850,1175,12,9,6,No,2,triple,medium,Dual,13.0,16.0,25.951171875,Touch,none,824.79,3315200,522.1,241.33333333333334,3,2,-1,2,0,1,0
444,1631,0.1,198,177,1905,301,13,5,13,No,4,hepta,low,Dual,2.0,12.0,3.1328125,LCD,none,775.33,337185,967.7,125.46153846153847,7,1,-1,2,1,0,0
445,1608,0.4,183,1013,1158,489,15,11,8,No,2,dual,medium,Dual,7.0,13.0,27.9580078125,LCD,a,637.36,1173054,267.4,201.0,2,2,2,2,1,0,0
446,1991,0.9,145,1058,1325,1733,5,3,8,Yes,4,dual,high,Single,5.0,13.0,63.0185546875,Touch,none,1080.78,1401850,1121.8,248.875,2,3,-1,1,0,1,1
447,1349,0.3,114,592,772,2756,11,3,4,No,3,penta,medium,Dual,15.0,16.0,61.1484375,LCD,none,758.42,457024,653.6,337.25,5,2,-1,2,1,0,0
448,1589,0.8,195,810,1743,2612,8,2,16,No,4,single,high,Single,5.0,18.0,50.6728515625,LCD,none,1160.42,1411830,2213.6,99.3125,1,3,-1,1,1,0,0
449,1844,0.7,158,533,882,1724,5,1,14,Yes,2,octa,high,Dual,1.0,3.0,50.6865234375,Touch,g,789.77,470106,2240.3,131.71428571428572,8,3,3,2,0,1,1
450,712,0.2,84,558,1208,2190,16,12,4,Yes,4,dual,low,Dual,3.0,10.0,34.3642578125,Touch,a,676.2,674064,255.7,178.0,2,1,2,2,0,1,1
451,972,0.7,107,681,1050,1900,16,8,19,Yes,4,triple,medium,Single,,4.0,53.51171875,LCD,b,912.35,715050,333.4,51.1578947368421,3,2,1,1,1,0,1
452,1406,0.8,98,1017,1366,3915,9,8,2,No,4,triple,low,Dual,2.0,5.0,33.4951171875,LCD,a,1468.61,1389222,433.7,703.0,3,1,2,2,1,0,0
453,1289,1.0,178,765,899,1043,6,2,11,No,4,hexa,low,Single,10.0,12.0,24.8994140625,Touch,none,663.65,687735,1141.7,117.18181818181819,6,1,-1,1,0,1,0
454,932,0.7,154,1176,1224,3817,8,7,9,No,3,hepta,medium,Single,1.0,2.0,63.1357421875,Touch,g,1013.96,1439424,444.1,103.55555555555556,7,2,3,1,0,1,0
455,1747,0.7,94,947,1131,2362,17,2,19,Yes,4,triple,low,Single,6.0,19.0,47.6396484375,Touch,none,989.71,1071057,1436.4,91.94736842105263,3,1,-1,1,0,1,1
456,1172,0.1,95,1314,1884,1107,7,3,5,Yes,2,triple,medium,Dual,4.0,7.0,40.8525390625,LCD,none,721.19,2475576,1595.1,234.4,3,2,-1,2,1,0,1
457,1128,0.4,84,609,1370,2982,14,9,12,Yes,3,penta,medium,Single,12.0,14.0,52.4169921875,Touch,none,950.41,834330,386.6,94.0,5,2,-1,1,0,1,1
458,664,0.9,106,754,1497,2042,17,15,19,No,3,penta,medium,Dual,,5.0,27.9462890625,Touch,none,694.58,1128738,253.5,34.94736842105263,5,2,-1,2,0,1,0
459,513,0.1,186,619,867,1343,5,1,9,Yes,4,quad,low,Single,6.0,12.0,43.373046875,Touch,none,660.14,536673,2202.2,57.0,4,1,-1,1,0,1,1
460,1742,0.4,170,453,681,2610,12,3,10,No,4,hepta,high,Dual,9.0,12.0,42.0517578125,LCD,n,1022.91,308493,576.6,174.2,7,3,4,2,1,0,0
461,1512,0.7,162,205,884,2335,15,7,7,Yes,3,hepta,medium,Single,12.0,17.0,6.66796875,Touch,a,922.42,181220,320.8,216.0,7,2,2,1,0,1,1
462,1986,0.1,165,282,1358,1614,17,12,3,No,4,octa,low,Dual,3.0,20.0,50.5244140625,Touch,g,899.06,382956,287.4,662.0,8,1,3,2,0,1,0
463,965,1.0,109,130,998,1138,9,8,10,Yes,2,dual,medium,Dual,5.0,14.0,12.8642578125,Touch,none,426.25,129740,316.9,96.5,2,2,-1,2,0,1,1
464,1067,0.6,122,494,1989,604,16,14,11,Yes,4,octa,high,Dual,3.0,15.0,39.9580078125,LCD,none,746.48,982566,360.9,97.0,8,3,-1,2,1,0,1
465,1583,0.8,118,275,862,3652,14,10,9,Yes,4,triple,medium,Single,5.0,10.0,41.4375,LCD,none,1025.86,237050,218.9,175.88888888888889,3,2,-1,1,1,0,1
466,1653,0.9,176,447,1785,3955,19,4,18,No,4,quad,low,Dual,2.0,6.0,36.4296875,Touch,a,968.93,797895,1133.5,91.83333333333333,4,1,2,2,0,1,0
467,1433,0.7,133,281,799,258,11,9,4,No,3,octa,medium,Single,7.0,11.0,4.8876953125,Touch,a,651.92,224519,225.5,358.25,8,2,2,1,0,1,0
468,765,0.1,153,6,793,1066,11,1,16,No,4,hepta,high,Single,,,18.267578125,Touch,none,812.74,4758,2014.2,47.8125,7,3,-1,1,0,1,0
469,1845,0.3,96,292,695,1731,9,5,6,Yes,2,single,low,Dual,10.0,12.0,60.1005859375,LCD,none,930.07,202940,353.1,307.5,1,1,-1,2,1,0,1
470,752,0.7,87,164,728,3860,7,5,16,No,2,hepta,low,Dual,1.0,13.0,47.0244140625,LCD,none,629.95,119392,369.8,47.0,7,1,-1,2,1,0,0
471,1948,0.1,100,631,1940,3630,9,7,17,No,2,penta,high,Dual,8.0,10.0,16.2529296875,Touch,none,1194.43,1224140,703.9,114.58823529411765,5,3,-1,2,0,1,0
472,1077,1.0,174,897,1304,1965,6,2,6,No,4,triple,high,Dual,,4.0,44.6904296875,Touch,none,902.55,1169688,1656.1,179.5,3,3,-1,2,0,1,0
473,932,0.7,104,268,1078,1459,6,1,19,Yes,4,quad,low,Single,1.0,2.0,58.958984375,Touch,none,837.83,288904,2738.1,49.05263157894737,4,1,-1,1,0,1,1
474,1968,0.8,115,861,1259,2323,9,8,7,No,2,triple,low,Single,,7.0,22.083984375,LCD,a,1099.65,1083999,399.7,281.14285714285717,3,1,2,1,1,0,0
475,1122,0.6,120,331,790,3291,11,2,13,No,3,quad,medium,Single,9.0,14.0,2.5185546875,Touch,n,1021.68,261490,1003.3,86.3076923076923,4,2,4,1,0,1,0
476,1588,0.8,159,1064,1594,3272,18,0,17,No,4,single,low,Single,,13.0,59.9091796875,Touch,none,826.61,1696016,inf,93.41176470588235,1,1,-1,1,0,1,0
477,601,0.3,101,509,548,918,9,1,12,No,2,quad,medium,Single,4.0,18.0,25.8896484375,LCD,none,389.63,278932,1391.9,50.083333333333336,4,2,-1,1,1,0,0
478,1615,0.1,132,622,1256,3488,16,2,3,No,2,quad,low,Single,14.0,16.0,14.7861328125,LCD,g,1140.83,781232,1595.1,538.3333333333334,4,1,3,1,1,0,0
479,1589,0.1,128,957,1911,3961,16,14,14,Yes,3,quad,medium,Dual,2.0,4.0,57.205078125,LCD,n,1284.26,1828827,346.7,113.5,4,2,4,2,1,0,1
480,1417,0.9,114,494,1649,590,11,3,6,Yes,4,hexa,high,Single,2.0,4.0,55.33984375,LCD,a,647.84,814606,1396.2,236.16666666666666,6,3,2,1,1,0,1
481,1697,0.1,95,236,1264,3701,15,9,8,Yes,4,single,low,Single,1.0,3.0,33.736328125,Touch,none,974.23,298304,356.7,212.125,1,1,-1,1,0,1,1
482,1330,0.3,83,980,1262,463,14,6,11,Yes,2,penta,medium,Dual,14.0,17.0,3.3330078125,LCD,b,585.07,1236760,534.2,120.9090909090909,5,2,1,2,1,0,1
483,1476,0.7,148,1789,1972,3644,15,10,6,No,4,dual,low,Single,,2.0,42.4765625,LCD,a,1285.95,3527908,500.9,246.0,2,1,2,1,1,0,0
484,1579,0.2,142,831,1484,1713,16,4,10,Yes,3,hexa,medium,Single,,18.0,26.5966796875,Touch,a,879.39,1233204,942.3,157.9,6,2,2,1,0,1,1
485,1277,0.3,200,902,1090,429,9,4,14,No,4,quad,high,Single,,3.0,40.2548828125,Touch,a,783.51,983180,692.2,91.21428571428571,4,3,2,1,0,1,0
486,1089,0.7,145,636,1259,2765,13,12,10,Yes,4,penta,low,Dual,12.0,15.0,2.564453125,LCD,a,740.42,800724,266.5,108.9,5,1,2,2,1,0,1
487,1663,0.3,169,831,1439,2084,7,1,18,Yes,4,quad,high,Dual,13.0,14.0,27.2353515625,LCD,none,1276.85,1195809,3655.1,92.38888888888889,4,3,-1,2,1,0,1
488,1949,0.8,186,518,592,1125,17,10,9,No,2,penta,medium,Single,,4.0,20.0751953125,LCD,none,793.78,306656,150.4,216.55555555555554,5,2,-1,1,1,0,0
489,1138,0.6,109,233,1777,2048,6,0,18,No,4,triple,medium,Single,5.0,14.0,47.6865234375,Touch,b,661.53,414041,inf,63.22222222222222,3,2,1,1,0,1,0
490,685,0.3,174,725,870,1223,8,0,18,No,3,hexa,high,Single,7.0,20.0,17.337890625,LCD,g,734.54,630750,inf,38.05555555555556,6,3,3,1,1,0,0
491,1889,1.0,132,170,1106,3672,5,1,3,No,4,single,high,Single,5.0,10.0,30.59375,Touch,a,1331.19,188020,2809.2,629.6666666666666,1,3,2,1,0,1,0
492,857,0.2,195,157,948,3100,17,5,13,Yes,3,hepta,medium,Dual,3.0,9.0,16.8115234375,Touch,none,914.99,148836,481.6,65.92307692307692,7,2,-1,2,0,1,1
493,1902,0.8,124,1142,1393,343,11,8,18,No,2,octa,high,Dual,6.0,9.0,49.091796875,Touch,none,779.43,1590806,442.3,105.66666666666667,8,3,-1,2,0,1,0
494,1225,0.1,155,840,982,1970,16,8,15,Yes,3,penta,high,Single,,,15.2119140625,Touch,none,975.29,824880,311.8,81.66666666666667,5,3,-1,1,0,1,1
495,1066,0.6,131,401,1586,2728,6,0,17,No,3,penta,medium,Single,5.0,17.0,38.6044921875,Touch,b,616.51,635986,inf,62.705882352941174,5,2,1,1,0,1,0
496,1554,1.0,124,395,1579,3635,7,4,18,Yes,2,triple,low,Dual,11.0,12.0,5.2529296875,LCD,none,936.18,623705,1002.7,86.33333333333333,3,1,-1,2,1,0,1
497,1337,0.8,186,48,644,2180,7,4,16,No,3,dual,low,Single,13.0,20.0,30.384765625,LCD,a,588.35,30912,408.9,83.5625,2,1,2,1,1,0,0
498,1926,0.4,172,982,1157,2488,6,1,14,Yes,4,triple,medium,Dual,1.0,2.0,32.5361328125,LCD,none,1009.05,1136174,2938.8,137.57142857142858,3,2,-1,2,1,0,1
499,869,0.1,104,478,539,3864,13,3,11,No,3,dual,medium,Dual,3.0,4.0,34.07421875,LCD,none,497.32,257642,456.4,79.0,2,2,-1,2,1,0,0
500,1278,0.1,104,581,750,1155,7,1,20,Yes,2,octa,low,Dual,1.0,16.0,53.2607421875,LCD,g,778.1,435750,1905.0,63.9,8,1,3,2,1,0,1
501,1773,0.6,170,1215,1472,3566,17,6,13,Yes,4,hexa,high,Single,16.0,18.0,31.51953125,LCD,n,1319.6,1788480,623.1,136.3846153846154,6,3,4,1,1,0,1
502,1661,1.0,109,594,1337,864,9,8,2,Yes,4,hepta,low,Dual,1.0,2.0,5.8955078125,LCD,g,878.89,794178,424.5,830.5,7,1,3,2,1,0,1
503,1438,0.6,176,683,1663,869,19,13,9,No,4,hepta,medium,Single,,6.0,31.6044921875,Touch,g,832.29,1135829,324.9,159.77777777777777,7,2,3,1,0,1,0
504,1661,0.3,119,536,861,591,9,2,9,Yes,3,dual,medium,Single,,,28.671875,Touch,a,724.82,461496,1093.5,184.55555555555554,2,2,2,1,0,1,1
505,1846,0.7,159,83,773,1333,15,6,11,Yes,2,single,low,Single,1.0,2.0,18.80078125,Touch,b,646.91,64159,327.2,167.8181818181818,1,1,1,1,0,1,1
506,1260,0.2,123,905,1313,2208,12,11,10,Yes,4,hepta,medium,Dual,2.0,10.0,23.0341796875,LCD,a,1022.47,1188265,303.2,126.0,7,2,2,2,1,0,1
507,512,0.9,83,249,1849,2610,18,14,15,Yes,2,triple,low,Dual,7.0,15.0,14.9580078125,Touch,g,757.98,460401,335.5,34.13333333333333,3,1,3,2,0,1,1
508,581,0.7,185,803,1613,2819,19,17,9,No,2,penta,medium,Single,,6.0,57.732421875,LCD,a,539.42,1295239,241.0,64.55555555555556,5,2,2,1,1,0,0
509,1872,0.7,134,459,1259,1955,9,4,15,Yes,3,triple,high,Single,6.0,15.0,43.3095703125,LCD,g,890.45,577881,799.5,124.8,3,3,3,1,1,0,1
510,687,0.6,151,584,1151,3416,14,6,8,Yes,4,quad,medium,Single,9.0,20.0,49.04296875,Touch,none,1014.98,672184,487.3,85.875,4,2,-1,1,0,1,1
511,1062,0.9,160,1596,1807,3803,7,3,16,Yes,2,single,high,Dual,6.0,13.0,10.2333984375,LCD,a,1004.53,2883972,1529.9,66.375,1,3,2,2,1,0,1
512,1678,0.5,192,418,1763,574,5,3,19,Yes,3,single,high,Dual,11.0,14.0,6.9951171875,LCD,none,706.76,736934,1492.7,88.3157894736842,1,3,-1,2,1,0,1
513,1417,0.9,166,364,1029,2129,13,9,12,Yes,4,quad,low,Single,10.0,19.0,44.2919921875,LCD,g,818.09,374556,290.4,118.08333333333333,4,1,3,1,1,0,1
514,1074,0.9,103,946,952,1948,13,1,18,No,4,hexa,high,Dual,2.0,14.0,9.529296875,Touch,n,829.69,900592,2418.1,59.666666666666664,6,3,4,2,0,1,0
515,1832,0.6,90,186,654,2978,18,7,18,No,2,hepta,low,Single,2.0,6.0,2.5947265625,LCD,none,725.53,121644,237.3,101.77777777777777,7,1,-1,1,1,0,0
516,1039,0.8,200,1428,1827,1619,7,1,10,No,4,octa,medium,Single,,,12.353515625,Touch,n,1142.25,2608956,4640.6,103.9,8,2,4,1,0,1,0
517,1059,0.1,134,1613,1916,3716,15,13,11,No,3,triple,high,Single,8.0,18.0,60.1611328125,Touch,none,1295.1,3090508,374.4,96.27272727272727,3,3,-1,1,0,1,0
518,1606,0.1,154,1127,1924,3454,13,8,20,No,2,quad,medium,Single,3.0,4.0,55.982421875,LCD,b,1081.57,2168348,610.9,80.3,4,2,1,1,1,0,0
519,1928,1.0,187,691,1580,3777,7,2,13,Yes,4,triple,medium,Single,9.0,20.0,18.7138671875,Touch,a,1428.24,1091780,2006.6,148.30769230769232,3,2,2,1,0,1,1
520,1875,0.7,91,1802,1942,2712,7,2,6,Yes,4,single,low,Dual,11.0,17.0,53.7939453125,LCD,g,1416.24,3499484,2466.3,312.5,1,1,3,2,1,0,1
521,1128,0.9,135,751,1582,1434,5,0,11,Yes,4,octa,medium,Single,9.0,10.0,45.2119140625,LCD,none,951.23,1188082,inf,102.54545454545455,8,2,-1,1,1,0,1
522,1748,0.5,146,859,1234,3968,16,12,3,No,4,triple,medium,Dual,6.0,7.0,14.0673828125,LCD,b,979.39,1060006,261.2,582.6666666666666,3,2,1,2,1,0,0
523,1413,0.3,117,187,517,3383,16,5,2,No,2,penta,low,Dual,5.0,11.0,49.9326171875,LCD,none,689.27,96679,262.6,706.5,5,1,-1,2,1,0,0
524,825,0.1,86,206,1917,3278,8,6,2,No,4,dual,low,Dual,,,23.06640625,LCD,a,839.04,394902,811.5,412.5,2,1,2,2,1,0,0
525,1589,0.1,100,1673,1759,3970,16,8,18,Yes,4,octa,medium,Single,3.0,16.0,26.1796875,LCD,b,1190.41,2942807,558.5,88.27777777777777,8,2,1,1,1,0,1
526,535,0.5,145,710,939,2674,14,8,10,Yes,4,octa,low,Dual,8.0,15.0,52.599609375,LCD,none,869.07,666690,298.1,53.5,8,1,-1,2,1,0,1
527,1780,0.1,190,1331,1463,2776,19,17,14,Yes,3,quad,low,Single,6.0,11.0,26.5693359375,Touch,g,1030.7,1947253,218.6,127.14285714285714,4,1,3,1,0,1,1
528,1671,0.1,129,263,848,2336,10,4,7,No,4,dual,low,Dual,7.0,11.0,60.0810546875,LCD,none,1026.35,223024,538.5,238.71428571428572,2,1,-1,2,1,0,0
529,1821,0.3,114,97,1803,2430,7,4,6,No,4,single,low,Single,9.0,18.0,12.1650390625,Touch,n,976.71,174891,1144.9,303.5,1,1,4,1,0,1,0
530,1076,0.7,119,129,915,891,18,3,9,Yes,4,hexa,high,Single,3.0,8.0,37.443359375,Touch,none,780.37,118035,774.7,119.55555555555556,6,3,-1,1,0,1,1
531,532,0.1,193,1213,1354,728,13,5,8,Yes,3,penta,low,Dual,3.0,10.0,8.5556640625,Touch,none,498.79,1642402,687.8,66.5,5,1,-1,2,0,1,1
532,777,0.9,148,189,1143,3886,14,10,7,Yes,3,penta,high,Single,3.0,17.0,30.0048828125,LCD,none,1441.35,216027,290.3,111.0,5,3,-1,1,1,0,1
533,1217,0.5,182,628,632,1711,7,3,9,Yes,3,quad,low,Single,3.0,13.0,17.2275390625,LCD,a,598.29,396896,535.1,135.22222222222223,4,1,2,1,1,0,1
534,1656,1.0,117,320,899,2856,14,3,20,Yes,3,hepta,medium,Dual,,2.0,16.1708984375,Touch,g,1023.42,287680,761.2,82.8,7,2,3,2,0,1,1
535,1185,0.4,152,837,1642,2447,16,2,3,No,3,octa,medium,Single,,7.0,31.181640625,Touch,n,875.72,1374354,2085.3,395.0,8,2,4,1,0,1,0
536,577,0.9,161,1087,1450,814,11,7,19,No,4,hexa,high,Single,8.0,20.0,37.04296875,Touch,g,767.61,1576150,526.1,30.36842105263158,6,3,3,1,0,1,0
537,737,0.6,193,781,1463,2951,7,0,10,Yes,2,quad,high,Dual,7.0,16.0,48.693359375,Touch,none,538.27,1142603,inf,73.7,4,3,-1,2,0,1,1
538,704,0.2,186,251,1013,3653,7,1,15,No,3,hexa,medium,Dual,4.0,6.0,51.86328125,Touch,n,721.15,254263,2573.0,46.93333333333333,6,2,4,2,0,1,0
539,525,0.5,137,262,1587,1891,18,3,12,Yes,2,octa,low,Dual,5.0,11.0,50.408203125,Touch,none,455.79,415794,1343.7,43.75,8,1,-1,2,0,1,1
540,504,0.1,166,767,1665,701,17,15,15,Yes,3,single,low,Dual,5.0,9.0,16.41015625,LCD,b,532.97,1277055,281.9,33.6,1,1,1,2,1,0,1
541,793,0.6,176,1226,1815,3139,6,1,12,No,4,quad,medium,Dual,1.0,7.0,37.3173828125,Touch,a,994.87,2225190,4610.1,66.08333333333333,4,2,2,2,0,1,0
542,569,0.1,184,389,739,2811,7,6,7,No,3,octa,low,Dual,2.0,9.0,38.6171875,LCD,a,821.3,287471,312.8,81.28571428571429,8,1,2,2,1,0,0
543,1590,1.0,160,920,963,1701,11,4,4,No,4,penta,medium,Dual,3.0,18.0,20.9814453125,LCD,g,929.52,885960,611.5,397.5,5,2,3,2,1,0,0
544,707,0.1,194,1027,1508,1853,17,14,12,No,4,dual,low,Single,,,15.8896484375,Touch,b,699.22,1548716,273.6,58.916666666666664,2,1,1,1,0,1,0
545,767,0.2,185,271,1000,2445,6,1,6,No,4,hexa,medium,Single,16.0,17.0,19.1044921875,Touch,n,814.46,271000,2540.0,127.83333333333333,6,2,4,1,0,1,0
546,1350,0.8,181,369,544,2287,15,1,8,Yes,4,octa,low,Dual,,4.0,49.2041015625,Touch,none,940.56,200736,1381.8,168.75,8,1,-1,2,0,1,1
547,1117,0.2,146,1258,1627,2003,8,7,14,Yes,2,dual,low,Dual,,7.0,31.0234375,Touch,b,585.77,2046766,590.4,79.78571428571429,2,1,1,2,0,1,1
548,641,0.9,192,417,759,3595,7,5,19,Yes,4,single,medium,Single,,3.0,6.9267578125,Touch,a,876.72,316503,385.6,33.73684210526316,1,2,2,1,0,1,1
549,1002,0.5,83,1345,1416,1726,16,5,19,No,4,dual,low,Dual,,4.0,34.673828125,LCD,a,927.52,1904520,719.3,52.73684210526316,2,1,2,2,1,0,0
550,1408,0.9,89,613,1088,3952,8,6,3,Yes,2,penta,medium,Dual,10.0,14.0,45.0146484375,LCD,g,1201.87,666944,460.6,469.3333333333333,5,2,3,2,1,0,1
551,1900,0.5,190,912,1596,850,5,1,4,Yes,3,octa,medium,Dual,1.0,6.0,40.55078125,Touch,n,911.64,1455552,4053.8,475.0,8,2,4,2,0,1,1
552,726,0.1,101,666,760,1446,17,2,8,No,3,octa,high,Single,,,42.33203125,Touch,none,717.46,506160,965.2,90.75,8,3,-1,1,0,1,0
553,1544,0.1,113,236,857,1300,8,7,18,No,4,octa,high,Single,12.0,20.0,44.21875,Touch,none,968.34,202252,311.0,85.77777777777777,8,3,-1,1,0,1,0
554,1454,0.2,160,186,1100,719,14,10,10,Yes,4,quad,medium,Single,6.0,10.0,21.169921875,Touch,a,760.95,204600,279.4,145.4,4,2,2,1,0,1,1
555,1230,0.8,123,416,676,988,11,5,9,Yes,2,penta,medium,Dual,6.0,7.0,26.0244140625,Touch,b,610.06,281216,343.4,136.66666666666666,5,2,1,2,0,1,1
556,1552,0.3,180,430,658,2606,13,6,12,No,4,octa,medium,Single,10.0,18.0,52.1806640625,LCD,none,937.06,282940,278.6,129.33333333333334,8,2,-1,1,1,0,0
557,1519,0.7,200,168,1239,2912,11,10,15,No,3,single,medium,Single,,10.0,31.9326171875,Touch,none,1122.91,208152,314.7,101.26666666666667,1,2,-1,1,0,1,0
558,723,0.3,102,1467,1901,2339,19,9,17,Yes,2,single,medium,Single,4.0,7.0,30.01953125,Touch,a,665.28,2788767,536.5,42.529411764705884,1,2,2,1,0,1,1
559,1191,0.9,169,179,1813,1028,14,6,8,No,3,single,high,Dual,2.0,7.0,13.43359375,Touch,b,599.48,324527,767.5,148.875,1,3,1,2,0,1,0
560,1168,0.1,90,159,1578,3173,9,4,17,No,2,octa,medium,Single,9.0,10.0,60.5,LCD,g,947.35,250902,1002.0,68.70588235294117,8,2,3,1,1,0,0
561,1229,0.8,191,120,1878,1667,17,6,17,No,2,dual,low,Dual,15.0,16.0,13.77734375,LCD,b,749.74,225360,795.0,72.29411764705883,2,1,1,2,1,0,0
562,1758,0.6,190,762,1864,1897,6,2,15,Yes,4,octa,low,Single,11.0,14.0,13.328125,LCD,none,1132.37,1420368,2367.3,117.2,8,1,-1,1,1,0,1
563,1290,0.1,143,600,1109,1214,9,8,15,No,2,hexa,low,Single,,4.0,3.3994140625,Touch,a,535.53,665400,352.1,86.0,6,1,2,1,0,1,0
564,574,0.1,90,286,1171,3269,8,7,10,No,2,hexa,high,Dual,16.0,17.0,37.609375,Touch,none,409.27,334906,424.9,57.4,6,3,-1,2,0,1,0
565,1271,0.1,113,1350,1949,445,15,14,14,Yes,2,hepta,low,Single,12.0,15.0,31.9423828125,LCD,b,652.56,2631150,353.6,90.78571428571429,7,1,1,1,1,0,1
566,1170,0.4,83,27,1722,1073,6,4,8,Yes,3,octa,medium,Single,4.0,15.0,29.7099609375,Touch,none,791.64,46494,1093.5,146.25,8,2,-1,1,0,1,1
567,1269,0.8,118,1597,1920,665,18,5,5,Yes,2,dual,medium,Single,14.0,15.0,50.7685546875,LCD,none,793.58,3066240,975.4,253.8,2,2,-1,1,1,0,1
568,1288,0.1,121,1177,1809,3129,17,6,2,No,2,dual,high,Dual,15.0,20.0,49.1826171875,LCD,none,663.75,2129193,765.8,644.0,2,3,-1,2,1,0,0
569,1366,0.1,150,402,964,3501,13,11,3,Yes,4,dual,low,Dual,,9.0,34.126953125,LCD,none,1319.45,387528,222.6,455.3333333333333,2,1,-1,2,1,0,1
570,1572,0.8,169,577,1237,3461,6,3,10,Yes,4,penta,low,Dual,7.0,8.0,8.3974609375,Touch,n,1097.94,713749,1047.3,157.2,5,1,4,2,0,1,1
571,1627,0.1,180,52,1082,3206,12,6,16,No,4,hexa,low,Dual,9.0,16.0,31.716796875,Touch,none,1344.02,56264,458.0,101.6875,6,1,-1,2,0,1,0
572,1701,0.9,115,364,828,3717,11,0,10,Yes,4,dual,low,Single,13.0,15.0,45.41796875,Touch,none,1357.34,301392,inf,170.1,2,1,-1,1,0,1,1
573,1900,0.9,171,934,1241,3917,15,5,18,Yes,4,single,low,Dual,,1.0,54.521484375,LCD,b,1474.89,1159094,630.4,105.55555555555556,1,1,1,2,1,0,1
574,1974,0.3,80,250,545,861,7,4,6,No,3,hepta,medium,Single,4.0,13.0,23.6728515625,LCD,b,549.71,136250,346.1,329.0,7,2,1,1,1,0,0
575,1197,0.1,129,214,1710,2885,19,7,14,Yes,3,penta,low,Dual,9.0,10.0,20.138671875,Touch,g,833.66,365940,620.5,85.5,5,1,3,2,0,1,1
576,587,0.7,170,612,1793,2777,9,2,14,Yes,3,single,high,Dual,4.0,16.0,6.30078125,Touch,none,765.24,1097316,2277.1,41.92857142857143,1,3,-1,2,0,1,1
577,934,0.8,112,1111,1463,1017,12,7,9,No,2,penta,medium,Single,7.0,12.0,24.2314453125,LCD,b,654.44,1625393,530.9,103.77777777777777,5,2,1,1,1,0,0
578,1195,0.1,82,163,1100,980,13,9,17,No,4,quad,medium,Dual,1.0,9.0,22.7822265625,LCD,none,777.38,179300,310.4,70.29411764705883,4,2,-1,2,1,0,0
579,1853,0.4,92,202,1951,2775,14,4,17,Yes,3,single,medium,Single,2.0,15.0,22.896484375,LCD,none,1196.57,394102,1238.9,109.0,1,2,-1,1,1,0,1
580,1164,0.9,95,729,1704,3309,15,3,3,No,4,octa,medium,Single,4.0,18.0,19.146484375,LCD,a,874.6,1242216,1442.7,388.0,8,2,2,1,1,0,0
581,1512,0.1,88,1079,1897,3607,12,10,6,Yes,4,triple,low,Single,8.0,17.0,18.1484375,Touch,n,1074.35,2046863,481.8,252.0,3,1,4,1,0,1,1
582,1232,0.3,169,361,809,1257,16,10,16,No,4,penta,high,Dual,1.0,17.0,23.689453125,LCD,none,907.06,292049,205.5,77.0,5,3,-1,2,1,0,0
583,1813,0.2,198,338,1306,759,9,3,14,Yes,4,triple,low,Dual,,8.0,5.376953125,Touch,none,784.29,441428,1105.7,129.5,3,1,-1,2,0,1,1
584,946,0.1,166,1698,1771,3720,15,7,4,Yes,2,triple,high,Dual,17.0,20.0,5.01953125,Touch,none,720.11,3007158,642.6,236.5,3,3,-1,2,0,1,1
585,739,0.1,88,1052,1536,475,7,6,6,Yes,4,triple,high,Dual,2.0,4.0,56.7529296875,LCD,a,639.0,1615872,650.2,123.16666666666667,3,3,2,2,1,0,1
586,704,0.2,80,1108,1509,1122,9,3,10,Yes,4,single,high,Single,8.0,10.0,28.546875,Touch,b,806.03,1671972,1277.6,70.4,1,3,1,1,0,1,1
